,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,best_params.C,best_params.kernel
0,MED1,svm,84.7777777777778,2.183269719175042,78.0,5.253570214625479,90.99999999999999,3.521363372331802,0.9120000000000001,0.030880414504990048,92.90476190476191,2.790045473015914,78.0,5.253570214625479,83.09151959151959,5.253570214625479,0.1,sigmoid
1,MED2,svm,72.55555555555556,3.665151201974256,49.00000000000001,6.992853494818835,98.00000000000001,1.897366596101027,0.613,0.10490042897910379,97.5,2.3717082451262845,49.00000000000001,6.992853494818835,62.142857142857146,6.992853494818835,0.1,sigmoid
2,MED3,svm,68.55555555555554,2.8067379246694513,43.0,5.300943312279427,96.0,2.5298221281347026,0.6773333333333333,0.056836607921303677,94.16666666666667,3.736085295243316,43.0,5.300943312279427,56.547619047619044,5.300943312279427,10.0,linear
8,MED9,svm,63.44444444444445,5.313504806936127,52.666666666666664,5.921711464320654,75.0,6.782329983125268,0.6476666666666666,0.06620850902011513,71.66666666666666,7.199537022151725,52.666666666666664,5.921711464320654,59.23304473304473,5.921711464320654,10.0,rbf
4,MED5,svm,61.66666666666667,5.930148958219065,72.0,6.449806198638839,51.0,7.2387844283415435,0.6713333333333333,0.054585712416345716,61.07142857142856,5.309603885793768,72.0,6.449806198638839,65.47785547785546,6.449806198638839,10.0,rbf
7,MED8,svm,61.55555555555555,6.321040701937896,64.0,7.37563556583431,59.00000000000001,7.2387844283415435,0.7319166666666667,0.04163499629718569,61.76190476190476,5.79860410131693,64.0,7.37563556583431,62.06410256410256,7.37563556583431,10.0,sigmoid
9,MED10,svm,54.55555555555556,2.8693785622209793,98.00000000000001,1.897366596101027,8.0,7.58946638440411,0.3611666666666667,0.07339090543112273,54.55555555555556,2.8693785622209793,98.00000000000001,1.897366596101027,69.30952380952381,1.897366596101027,10.0,rbf
5,MED6,svm,53.55555555555556,2.0110804171997803,96.0,3.794733192202055,8.0,7.58946638440411,0.35900000000000004,0.07904998418722169,54.05555555555554,2.4318488622628025,96.0,3.794733192202055,67.97619047619048,3.794733192202055,10.0,rbf
3,MED4,svm,52.55555555555556,1.2866839377079184,96.0,2.5298221281347026,6.000000000000001,2.898275349237888,0.5938333333333332,0.05263609344673419,52.11111111111111,1.0824070113740047,96.0,2.5298221281347026,67.42673992673993,2.5298221281347026,1.0,sigmoid
6,MED7,svm,51.55555555555556,1.0327955589886444,100.0,0.0,0.0,0.0,0.371,0.05250619011126212,51.55555555555556,1.0327955589886444,100.0,0.0,67.97619047619048,0.0,0.1,rbf
