,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,best_params.C,best_params.kernel
38,"('MED1', 'MED3', 'MED5', 'MED10')",svm,84.7777777777778,2.601281735350223,78.0,5.253570214625479,90.99999999999999,3.521363372331802,0.16899999999999998,0.058214259421554095,92.57142857142858,2.919323377015954,78.0,5.253570214625479,83.11172161172162,5.253570214625479,10.0,linear
51,"('MED1', 'MED4', 'MED5', 'MED8')",svm,84.7777777777778,2.1832697191750414,82.0,4.42718872423573,86.99999999999999,3.4058772731852796,0.9020000000000001,0.02536927275268252,88.90476190476193,2.916875599902423,82.0,4.42718872423573,84.21056721056722,4.42718872423573,10.0,linear
35,"('MED1', 'MED3', 'MED5', 'MED7')",svm,84.7777777777778,2.601281735350223,77.99999999999999,4.427188724235731,90.99999999999999,3.521363372331802,0.8190000000000002,0.08107342351227065,92.07142857142857,3.163003609978131,77.99999999999999,4.427188724235731,83.56410256410257,4.427188724235731,10.0,linear
28,"('MED1', 'MED3', 'MED4', 'MED5')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.914,0.02684026825499327,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10.0,linear
27,"('MED1', 'MED2', 'MED9', 'MED10')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.349,0.11717038875074197,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10.0,linear
79,"('MED1', 'MED6', 'MED9', 'MED10')",svm,84.7777777777778,2.601281735350223,78.0,5.253570214625479,90.99999999999999,3.521363372331802,0.4835,0.13341298662424134,92.57142857142858,2.919323377015954,78.0,5.253570214625479,83.11172161172162,5.253570214625479,10.0,linear
25,"('MED1', 'MED2', 'MED8', 'MED9')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.917,0.028286038959175603,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10.0,linear
63,"('MED1', 'MED4', 'MED9', 'MED10')",svm,84.7777777777778,2.601281735350223,80.0,5.65685424949238,89.0,3.521363372331802,0.573,0.1278440456180889,90.90476190476193,2.923398451015762,80.0,5.65685424949238,83.31374181374181,5.65685424949238,10.0,linear
48,"('MED1', 'MED3', 'MED9', 'MED10')",svm,84.7777777777778,2.1832697191750414,82.0,4.42718872423573,86.99999999999999,3.4058772731852796,0.553,0.12152407168952166,88.90476190476193,2.916875599902423,82.0,4.42718872423573,84.21056721056722,4.42718872423573,10.0,linear
16,"('MED1', 'MED2', 'MED5', 'MED9')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.905,0.03191394679446589,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10.0,linear
1,"('MED1', 'MED2', 'MED3', 'MED5')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.909,0.028651352498616885,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10.0,linear
61,"('MED1', 'MED4', 'MED8', 'MED9')",svm,84.7777777777778,1.6633299933166195,80.0,4.0,89.0,3.521363372331802,0.905,0.02930017064796722,90.90476190476193,2.923398451015762,80.0,4.0,83.988344988345,4.0,10.0,linear
4,"('MED1', 'MED2', 'MED3', 'MED8')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.921,0.025630060475933327,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1.0,linear
5,"('MED1', 'MED2', 'MED3', 'MED9')",svm,84.7777777777778,2.1832697191750414,82.0,4.42718872423573,86.99999999999999,3.4058772731852796,0.909,0.028651352498616885,88.90476190476193,2.916875599902423,82.0,4.42718872423573,84.21056721056722,4.42718872423573,10.0,linear
34,"('MED1', 'MED3', 'MED5', 'MED6')",svm,84.7777777777778,2.601281735350223,78.0,5.253570214625479,90.99999999999999,3.521363372331802,0.173,0.060696787394391806,92.57142857142858,2.919323377015954,78.0,5.253570214625479,83.11172161172162,5.253570214625479,10.0,linear
52,"('MED1', 'MED4', 'MED5', 'MED9')",svm,84.7777777777778,2.1832697191750414,82.0,4.42718872423573,86.99999999999999,3.4058772731852796,0.897,0.02584763045232579,88.90476190476193,2.916875599902423,82.0,4.42718872423573,84.21056721056722,4.42718872423573,10.0,linear
83,"('MED1', 'MED8', 'MED9', 'MED10')",svm,83.7777777777778,2.14993539954628,76.0,4.732863826479692,90.99999999999999,3.521363372331802,0.7689999999999999,0.10388888294711807,92.57142857142858,2.919323377015954,76.0,4.732863826479692,82.0006105006105,4.732863826479692,10.0,linear
55,"('MED1', 'MED4', 'MED6', 'MED8')",svm,83.7777777777778,2.14993539954628,78.0,5.253570214625479,89.0,3.521363372331802,0.639,0.11452903561979381,90.90476190476193,2.923398451015762,78.0,5.253570214625479,82.20263070263071,5.253570214625479,10.0,linear
73,"('MED1', 'MED5', 'MED9', 'MED10')",svm,83.7777777777778,2.14993539954628,76.0,4.732863826479692,90.99999999999999,3.521363372331802,0.511,0.13278893026152444,92.57142857142858,2.919323377015954,76.0,4.732863826479692,82.0006105006105,4.732863826479692,10.0,linear
37,"('MED1', 'MED3', 'MED5', 'MED9')",svm,83.77777777777779,1.619327706865482,80.0,4.0,86.99999999999999,3.4058772731852796,0.905,0.03191394679446589,88.90476190476193,2.916875599902423,80.0,4.0,83.09945609945612,4.0,10.0,linear
56,"('MED1', 'MED4', 'MED6', 'MED9')",svm,83.77777777777779,2.936362072739366,78.0,6.603029607687672,89.0,3.521363372331802,0.273,0.09350989252480187,90.90476190476193,2.923398451015762,78.0,6.603029607687672,81.52802752802755,6.603029607687672,10.0,linear
36,"('MED1', 'MED3', 'MED5', 'MED8')",svm,83.77777777777779,1.619327706865482,80.0,4.0,86.99999999999999,3.4058772731852796,0.909,0.026923967018253458,88.90476190476193,2.916875599902423,80.0,4.0,83.09945609945612,4.0,10.0,linear
49,"('MED1', 'MED4', 'MED5', 'MED6')",svm,83.77777777777779,1.619327706865482,80.0,4.0,86.99999999999999,3.4058772731852796,0.612,0.11741209477732692,88.90476190476193,2.916875599902423,80.0,4.0,83.09945609945612,4.0,10.0,linear
47,"('MED1', 'MED3', 'MED8', 'MED10')",svm,83.77777777777779,1.619327706865482,78.0,3.405877273185281,89.0,3.521363372331802,0.683,0.11983363467741433,90.5714285714286,3.025065356015182,78.0,3.405877273185281,82.8974358974359,3.405877273185281,10.0,linear
33,"('MED1', 'MED3', 'MED4', 'MED10')",svm,83.77777777777779,2.573367875415838,78.0,5.253570214625479,89.0,3.521363372331802,0.15699999999999997,0.05786276868591755,90.5714285714286,3.025065356015182,78.0,5.253570214625479,82.22283272283273,5.253570214625479,10.0,linear
41,"('MED1', 'MED3', 'MED6', 'MED9')",svm,83.77777777777779,2.573367875415838,80.0,5.65685424949238,86.99999999999999,3.4058772731852796,0.5109999999999999,0.12065197884825593,88.90476190476193,2.916875599902423,80.0,5.65685424949238,82.42485292485293,5.65685424949238,10.0,linear
50,"('MED1', 'MED4', 'MED5', 'MED7')",svm,83.77777777777779,1.619327706865482,80.0,4.0,86.99999999999999,3.4058772731852796,0.818,0.08636897591149266,88.90476190476193,2.916875599902423,80.0,4.0,83.09945609945612,4.0,10.0,linear
53,"('MED1', 'MED4', 'MED5', 'MED10')",svm,83.77777777777779,2.573367875415838,80.0,5.65685424949238,86.99999999999999,3.4058772731852796,0.33599999999999997,0.10791848775812232,88.90476190476193,2.916875599902423,80.0,5.65685424949238,82.42485292485293,5.65685424949238,10.0,linear
44,"('MED1', 'MED3', 'MED7', 'MED9')",svm,83.77777777777779,2.573367875415838,80.0,4.898979485566356,86.99999999999999,3.4058772731852796,0.805,0.0844185998462424,88.40476190476193,3.102199132193533,80.0,4.898979485566356,82.87723387723389,4.898979485566356,10.0,linear
62,"('MED1', 'MED4', 'MED8', 'MED10')",svm,83.77777777777779,2.14993539954628,78.0,5.253570214625479,89.0,3.521363372331802,0.403,0.12573026684136163,90.90476190476193,2.923398451015762,78.0,5.253570214625479,82.20263070263071,5.253570214625479,10.0,linear
46,"('MED1', 'MED3', 'MED8', 'MED9')",svm,83.77777777777779,1.619327706865482,78.0,3.405877273185281,89.0,3.521363372331802,0.913,0.02615530538915575,90.5714285714286,3.025065356015182,78.0,3.405877273185281,82.8974358974359,3.405877273185281,10.0,linear
42,"('MED1', 'MED3', 'MED6', 'MED10')",svm,83.77777777777779,2.936362072739366,78.0,5.253570214625479,89.0,4.5166359162544865,0.16199999999999998,0.057996551621626605,91.23809523809526,3.6708078037365,78.0,5.253570214625479,82.38444888444889,5.253570214625479,10.0,linear
