,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,best_params.C,best_params.kernel
9,"('MED1', 'MED2', 'MED3', 'MED5', 'MED9')",svm,85.7777777777778,2.170509412813294,76.0,3.794733192202055,95.5,2.867926079939997,0.905,0.031408597549078814,96.00000000000001,2.5298221281347026,76.0,3.794733192202055,84.05555555555557,3.794733192202055,1.0,linear
40,"('MED1', 'MED2', 'MED5', 'MED7', 'MED8')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.736,0.10795554640684285,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10.0,linear
93,"('MED1', 'MED4', 'MED5', 'MED6', 'MED9')",svm,84.7777777777778,2.1832697191750414,82.0,4.42718872423573,86.99999999999999,3.4058772731852796,0.691,0.1035804035520233,88.90476190476193,2.916875599902423,82.0,4.42718872423573,84.21056721056722,4.42718872423573,10.0,linear
106,"('MED1', 'MED4', 'MED6', 'MED9', 'MED10')",svm,84.7777777777778,1.6633299933166195,80.0,4.0,89.0,3.521363372331802,0.343,0.12044957451149423,90.90476190476193,2.923398451015762,80.0,4.0,83.988344988345,4.0,10.0,linear
110,"('MED1', 'MED4', 'MED8', 'MED9', 'MED10')",svm,84.7777777777778,1.6633299933166195,80.0,4.0,89.0,3.521363372331802,0.2806666666666667,0.1000986180390785,90.90476190476193,2.923398451015762,80.0,4.0,83.988344988345,4.0,10.0,linear
56,"('MED1', 'MED3', 'MED4', 'MED5', 'MED6')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.4840000000000001,0.12498959956732399,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10.0,linear
57,"('MED1', 'MED3', 'MED4', 'MED5', 'MED7')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.914,0.02800714194629647,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10.0,linear
58,"('MED1', 'MED3', 'MED4', 'MED5', 'MED8')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.909,0.029204451715449133,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1.0,linear
59,"('MED1', 'MED3', 'MED4', 'MED5', 'MED9')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.905,0.031408597549078814,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1.0,linear
18,"('MED1', 'MED2', 'MED3', 'MED8', 'MED9')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.921,0.024997999919993595,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1.0,linear
94,"('MED1', 'MED4', 'MED5', 'MED6', 'MED10')",svm,84.7777777777778,2.1832697191750414,82.0,4.42718872423573,86.99999999999999,3.4058772731852796,0.635,0.12117136625457353,88.90476190476193,2.916875599902423,82.0,4.42718872423573,84.21056721056722,4.42718872423573,10.0,linear
4,"('MED1', 'MED2', 'MED3', 'MED4', 'MED9')",svm,84.7777777777778,2.1832697191750414,76.0,3.794733192202055,93.5,3.1662280397975118,0.913,0.029598986469134374,94.0,2.898275349237887,76.0,3.794733192202055,83.16666666666667,3.794733192202055,1.0,linear
3,"('MED1', 'MED2', 'MED3', 'MED4', 'MED8')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.917,0.024002083242918727,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1.0,linear
105,"('MED1', 'MED4', 'MED6', 'MED8', 'MED10')",svm,84.77777777777777,3.2812599206199238,80.0,6.928203230275509,89.0,3.521363372331802,0.6769999999999999,0.11306679441816682,90.90476190476193,2.923398451015762,80.0,6.928203230275509,82.63913863913865,6.928203230275509,10.0,linear
