,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,best_params.C,best_params.kernel
1,"('MED1', 'MED3')",svm,84.7777777777778,2.183269719175042,78.0,5.253570214625479,90.99999999999999,3.521363372331802,0.9120000000000001,0.030880414504990048,92.90476190476191,2.790045473015914,78.0,5.253570214625479,83.09151959151959,5.253570214625479,10.0,linear
0,"('MED1', 'MED2')",svm,83.7777777777778,2.14993539954628,76.0,5.513619500836088,90.99999999999999,3.521363372331802,0.9160000000000001,0.027971413979275342,92.90476190476191,2.790045473015914,76.0,5.513619500836088,81.70263070263071,5.513619500836088,10.0,linear
5,"('MED1', 'MED7')",svm,83.7777777777778,2.14993539954628,76.0,4.732863826479692,90.99999999999999,3.521363372331802,0.644,0.1213853368409875,92.57142857142858,2.919323377015954,76.0,4.732863826479692,82.0006105006105,4.732863826479692,10.0,linear
6,"('MED1', 'MED8')",svm,83.7777777777778,2.14993539954628,76.0,4.732863826479692,90.99999999999999,3.521363372331802,0.917,0.028286038959175603,92.57142857142858,2.919323377015954,76.0,4.732863826479692,82.0006105006105,4.732863826479692,10.0,linear
7,"('MED1', 'MED9')",svm,83.7777777777778,2.14993539954628,76.0,4.732863826479692,90.99999999999999,3.521363372331802,0.917,0.029395577898724837,92.57142857142858,2.919323377015954,76.0,4.732863826479692,82.0006105006105,4.732863826479692,10.0,linear
2,"('MED1', 'MED4')",svm,82.77777777777779,2.5055493963954847,70.0,5.0990195135927845,95.5,2.867926079939997,0.917,0.026534882701832324,96.00000000000001,2.5298221281347026,70.0,5.0990195135927845,79.4920634920635,5.0990195135927845,1.0,linear
3,"('MED1', 'MED5')",svm,82.77777777777779,2.5055493963954847,70.0,5.0990195135927845,95.5,2.867926079939997,0.9180000000000001,0.02777768888874667,96.00000000000001,2.5298221281347026,70.0,5.0990195135927845,79.4920634920635,5.0990195135927845,1.0,linear
8,"('MED1', 'MED10')",svm,82.77777777777779,3.2058973436118916,76.0,6.196773353931866,89.0,3.521363372331802,0.15800000000000003,0.05840890343089827,89.57142857142857,3.6130589548660654,76.0,6.196773353931866,80.5915195915196,6.196773353931866,10.0,linear
4,"('MED1', 'MED6')",svm,81.7777777777778,3.9665266081716046,76.0,6.196773353931866,86.99999999999999,4.42718872423573,0.15800000000000003,0.05840890343089827,87.90476190476191,4.815507828491041,76.0,6.196773353931866,80.03596403596404,6.196773353931866,10.0,linear
15,"('MED2', 'MED9')",svm,77.55555555555556,4.168666186896928,58.33333333333333,7.291547618075786,98.00000000000001,1.897366596101027,0.8640000000000001,0.038031565836815086,96.66666666666666,3.162277660168379,58.33333333333333,7.291547618075786,69.92424242424241,7.291547618075786,10.0,linear
11,"('MED2', 'MED5')",svm,76.55555555555556,3.713339317768967,54.666666666666664,7.042726744663604,100.0,0.0,0.86,0.03261901286060018,100.0,0.0,54.666666666666664,7.042726744663604,67.76190476190476,7.042726744663604,10.0,linear
21,"('MED3', 'MED8')",svm,76.44444444444446,4.402019738458448,68.0,7.58946638440411,85.0,4.242640687119286,0.8555000000000001,0.022720585379782807,83.57142857142857,5.1419752330259385,68.0,7.58946638440411,72.77694527694527,7.58946638440411,10.0,linear
14,"('MED2', 'MED8')",svm,75.55555555555556,4.0,54.666666666666664,7.042726744663604,98.00000000000001,1.897366596101027,0.8840000000000001,0.027971413979275335,96.66666666666666,3.162277660168379,54.666666666666664,7.042726744663604,67.04761904761905,7.042726744663604,10.0,linear
