,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,best_params.C,best_params.kernel
3,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED10')",svm,85.7777777777778,2.170509412813294,76.0,3.794733192202055,95.5,2.867926079939997,0.629,0.1165199553724597,96.00000000000001,2.5298221281347026,76.0,3.794733192202055,84.05555555555557,3.794733192202055,1,linear
61,"('MED1', 'MED3', 'MED4', 'MED5', 'MED6', 'MED9', 'MED10')",svm,85.7777777777778,2.170509412813294,76.0,3.794733192202055,95.5,2.867926079939997,0.29300000000000004,0.10109451023670869,96.00000000000001,2.5298221281347026,76.0,3.794733192202055,84.05555555555557,3.794733192202055,1,linear
79,"('MED1', 'MED4', 'MED5', 'MED6', 'MED7', 'MED9', 'MED10')",svm,85.7777777777778,2.170509412813294,84.00000000000001,3.794733192202054,86.99999999999999,3.4058772731852796,0.5750000000000001,0.11122274947149975,88.90476190476193,2.916875599902423,84.00000000000001,3.794733192202054,85.59945609945612,3.794733192202054,10,linear
28,"('MED1', 'MED2', 'MED3', 'MED5', 'MED7', 'MED9', 'MED10')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.46900000000000003,0.12109872005929706,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10,linear
78,"('MED1', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED10')",svm,84.7777777777778,2.1832697191750414,82.0,4.42718872423573,86.99999999999999,3.4058772731852796,0.581,0.1073540870204763,88.90476190476193,2.916875599902423,82.0,4.42718872423573,84.21056721056722,4.42718872423573,10,linear
56,"('MED1', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.5970000000000001,0.11971674903704994,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1,linear
58,"('MED1', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED10')",svm,84.7777777777778,2.601281735350223,74.0,4.049691346263318,95.5,2.867926079939997,0.47300000000000003,0.12987724973989861,95.5,2.8679260799399966,74.0,4.049691346263318,82.72222222222221,4.049691346263318,1,linear
59,"('MED1', 'MED3', 'MED4', 'MED5', 'MED6', 'MED8', 'MED9')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.749,0.1069808394059422,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1,linear
1,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED8')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.5609999999999999,0.13215483343412,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1,linear
25,"('MED1', 'MED2', 'MED3', 'MED5', 'MED6', 'MED9', 'MED10')",svm,84.7777777777778,2.1832697191750414,76.0,3.794733192202055,93.5,3.1662280397975118,0.5469999999999999,0.12018360953141653,94.0,2.898275349237887,76.0,3.794733192202055,83.16666666666667,3.794733192202055,1,linear
73,"('MED1', 'MED3', 'MED5', 'MED6', 'MED7', 'MED9', 'MED10')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.52,0.11575836902790224,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10,linear
9,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED9', 'MED10')",svm,84.7777777777778,2.601281735350223,74.0,4.939635614091388,95.5,2.867926079939997,0.42300000000000004,0.12785968872166084,96.00000000000001,2.5298221281347026,74.0,4.939635614091388,82.26984126984128,4.939635614091388,1,linear
7,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED8', 'MED9')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.905,0.031408597549078814,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1,linear
5,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED7', 'MED9')",svm,84.7777777777778,2.601281735350223,74.0,4.049691346263318,95.5,2.867926079939997,0.765,0.09780848633937649,95.5,2.8679260799399966,74.0,4.049691346263318,82.72222222222221,4.049691346263318,1,linear
4,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED7', 'MED8')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.635,0.12412292294334676,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1,linear
2,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED9')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.493,0.1318487770136682,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1,linear
21,"('MED1', 'MED2', 'MED3', 'MED5', 'MED6', 'MED7', 'MED9')",svm,84.7777777777778,2.601281735350223,74.0,4.049691346263318,95.5,2.867926079939997,0.421,0.12635228529789239,95.5,2.8679260799399966,74.0,4.049691346263318,82.72222222222221,4.049691346263318,1,linear
41,"('MED1', 'MED2', 'MED4', 'MED5', 'MED7', 'MED8', 'MED9')",svm,83.77777777777779,1.619327706865482,80.0,4.0,86.99999999999999,3.4058772731852796,0.8220000000000001,0.08219245707484354,88.90476190476193,2.916875599902423,80.0,4.0,83.09945609945612,4.0,10,linear
