,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,best_params.C,best_params.kernel
3,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED9')",svm,85.7777777777778,2.170509412813294,76.0,3.794733192202055,95.5,2.867926079939997,0.905,0.031408597549078814,96.00000000000001,2.5298221281347026,76.0,3.794733192202055,84.05555555555557,3.794733192202055,1.0,linear
110,"('MED1', 'MED4', 'MED5', 'MED6', 'MED9', 'MED10')",svm,85.7777777777778,2.170509412813294,84.00000000000001,3.794733192202054,86.99999999999999,3.4058772731852796,0.445,0.11863599790957213,88.90476190476193,2.916875599902423,84.00000000000001,3.794733192202054,85.59945609945612,3.794733192202054,10.0,linear
73,"('MED1', 'MED3', 'MED4', 'MED5', 'MED6', 'MED10')",svm,85.7777777777778,2.170509412813294,76.0,3.794733192202055,95.5,2.867926079939997,0.345,0.11330710480812754,96.00000000000001,2.5298221281347026,76.0,3.794733192202055,84.05555555555557,3.794733192202055,1.0,linear
12,"('MED1', 'MED2', 'MED3', 'MED4', 'MED8', 'MED9')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.909,0.028651352498616885,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1.0,linear
70,"('MED1', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.632,0.11696837179340405,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10.0,linear
77,"('MED1', 'MED3', 'MED4', 'MED5', 'MED8', 'MED9')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.905,0.031408597549078814,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1.0,linear
22,"('MED1', 'MED2', 'MED3', 'MED5', 'MED8', 'MED9')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.905,0.031408597549078814,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1.0,linear
74,"('MED1', 'MED3', 'MED4', 'MED5', 'MED7', 'MED8')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.805,0.08903089351455482,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1.0,linear
20,"('MED1', 'MED2', 'MED3', 'MED5', 'MED7', 'MED9')",svm,84.7777777777778,2.601281735350223,74.0,4.049691346263318,95.5,2.867926079939997,0.841,0.07043365672744813,95.5,2.8679260799399966,74.0,4.049691346263318,82.72222222222221,4.049691346263318,1.0,linear
72,"('MED1', 'MED3', 'MED4', 'MED5', 'MED6', 'MED9')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.5950000000000001,0.12939281278339998,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1.0,linear
17,"('MED1', 'MED2', 'MED3', 'MED5', 'MED6', 'MED9')",svm,84.7777777777778,2.1832697191750414,76.0,3.794733192202055,93.5,3.1662280397975118,0.469,0.13150247145966495,94.0,2.898275349237887,76.0,3.794733192202055,83.16666666666667,3.794733192202055,1.0,linear
30,"('MED1', 'MED2', 'MED3', 'MED6', 'MED9', 'MED10')",svm,84.7777777777778,2.601281735350223,74.0,4.939635614091388,95.5,2.867926079939997,0.345,0.11188610280101813,96.00000000000001,2.5298221281347026,74.0,4.939635614091388,82.26984126984128,4.939635614091388,1.0,linear
71,"('MED1', 'MED3', 'MED4', 'MED5', 'MED6', 'MED8')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.617,0.11219670226882784,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1.0,linear
24,"('MED1', 'MED2', 'MED3', 'MED5', 'MED9', 'MED10')",svm,84.7777777777778,2.601281735350223,74.0,4.939635614091388,95.5,2.867926079939997,0.503,0.13003115011411687,96.00000000000001,2.5298221281347026,74.0,4.939635614091388,82.26984126984128,4.939635614091388,1.0,linear
95,"('MED1', 'MED3', 'MED5', 'MED6', 'MED9', 'MED10')",svm,84.7777777777778,2.1832697191750414,80.0,4.0,89.0,3.521363372331802,0.499,0.13186697842902143,90.5714285714286,3.025065356015182,80.0,4.0,84.00854700854701,4.0,10.0,linear
