,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
83,"('MED1', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",lda,79.0909090909091,4.0757294129927075,59.583333333333336,9.754806507563336,96.66666666666666,3.162277660168379,0.8528571428571429,0.04179748172387961,88.57142857142858,9.432899439553816,59.583333333333336,9.754806507563336,68.5018315018315,9.290033674710397
30,"('MED1', 'MED2', 'MED3', 'MED6', 'MED7', 'MED8', 'MED9')",lda,78.18181818181819,4.302603478617901,58.33333333333333,9.628516673576119,96.66666666666666,3.162277660168379,0.878452380952381,0.0337119021554521,88.33333333333334,9.442810316143529,58.33333333333333,9.628516673576119,67.64468864468864,9.219264372354392
34,"('MED1', 'MED2', 'MED3', 'MED7', 'MED8', 'MED9', 'MED10')",lda,78.18181818181819,4.302603478617901,58.33333333333333,9.628516673576119,96.66666666666666,3.162277660168379,0.878452380952381,0.0337119021554521,88.33333333333334,9.442810316143529,58.33333333333333,9.628516673576119,67.64468864468864,9.219264372354392
77,"('MED1', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9')",lda,77.27272727272727,4.116084153698826,55.833333333333336,9.486832980505138,96.66666666666666,3.162277660168379,0.871547619047619,0.030022407542509417,88.33333333333334,9.442810316143529,55.833333333333336,9.486832980505138,65.73992673992673,9.020891622411769
54,"('MED1', 'MED2', 'MED5', 'MED7', 'MED8', 'MED9', 'MED10')",lda,77.27272727272727,3.9101478486557393,56.666666666666664,9.017729450612523,96.66666666666666,3.162277660168379,0.875357142857143,0.032353389004018594,88.33333333333334,9.442810316143529,56.666666666666664,9.017729450612523,66.73559773559774,8.93621023350904
82,"('MED1', 'MED4', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",lda,77.27272727272727,3.9101478486557393,58.33333333333333,9.628516673576119,95.41666666666666,3.2516021691877786,0.8830952380952383,0.031979656231711,85.83333333333334,9.43177254461394,58.33333333333333,9.628516673576119,66.21611721611723,8.80835941525404
81,"('MED1', 'MED4', 'MED5', 'MED7', 'MED8', 'MED9', 'MED10')",lda,77.27272727272727,4.116084153698826,55.833333333333336,9.486832980505138,96.66666666666666,3.162277660168379,0.871547619047619,0.030022407542509417,88.33333333333334,9.442810316143529,55.833333333333336,9.486832980505138,65.73992673992673,9.020891622411769
51,"('MED1', 'MED2', 'MED5', 'MED6', 'MED7', 'MED8', 'MED10')",lda,77.27272727272727,3.9101478486557393,56.666666666666664,9.017729450612523,96.66666666666666,3.162277660168379,0.8817857142857143,0.029903022583631703,88.33333333333334,9.442810316143529,56.666666666666664,9.017729450612523,66.73559773559774,8.93621023350904
50,"('MED1', 'MED2', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9')",lda,77.27272727272727,3.9101478486557393,56.666666666666664,9.017729450612523,96.66666666666666,3.162277660168379,0.875357142857143,0.032353389004018594,88.33333333333334,9.442810316143529,56.666666666666664,9.017729450612523,66.73559773559774,8.93621023350904
78,"('MED1', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED10')",lda,77.27272727272727,4.116084153698826,55.833333333333336,9.486832980505138,96.66666666666666,3.162277660168379,0.8748809523809523,0.03163955606415026,88.33333333333334,9.442810316143529,55.833333333333336,9.486832980505138,65.73992673992673,9.020891622411769
