,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
125,"('MED1', 'MED7', 'MED8', 'MED9', 'MED10')",lda,79.0909090909091,4.0757294129927075,59.583333333333336,9.754806507563336,96.66666666666666,3.162277660168379,0.8975,0.028071746635784416,88.57142857142858,9.432899439553816,59.583333333333336,9.754806507563336,68.5018315018315,9.290033674710397
121,"('MED1', 'MED6', 'MED7', 'MED8', 'MED9')",lda,79.0909090909091,4.0757294129927075,59.583333333333336,9.754806507563336,96.66666666666666,3.162277660168379,0.8975,0.028071746635784416,88.57142857142858,9.432899439553816,59.583333333333336,9.754806507563336,68.5018315018315,9.290033674710397
55,"('MED1', 'MED2', 'MED8', 'MED9', 'MED10')",lda,78.18181818181819,4.302603478617901,58.33333333333333,9.628516673576119,96.66666666666666,3.162277660168379,0.8903571428571428,0.03070203243953676,88.33333333333334,9.442810316143529,58.33333333333333,9.628516673576119,67.64468864468864,9.219264372354392
115,"('MED1', 'MED5', 'MED6', 'MED8', 'MED10')",lda,78.18181818181819,4.302603478617901,58.33333333333333,9.628516673576119,96.66666666666666,3.162277660168379,0.878452380952381,0.032021574536984655,88.33333333333334,9.442810316143529,58.33333333333333,9.628516673576119,67.64468864468864,9.219264372354392
105,"('MED1', 'MED4', 'MED6', 'MED8', 'MED10')",lda,78.18181818181819,4.302603478617901,58.33333333333333,9.628516673576119,96.66666666666666,3.162277660168379,0.8892857142857142,0.028454124274147265,88.33333333333334,9.442810316143529,58.33333333333333,9.628516673576119,67.64468864468864,9.219264372354392
90,"('MED1', 'MED3', 'MED8', 'MED9', 'MED10')",lda,78.18181818181819,4.302603478617901,58.33333333333333,9.628516673576119,96.66666666666666,3.162277660168379,0.8861904761904762,0.031161473247681766,88.33333333333334,9.442810316143529,58.33333333333333,9.628516673576119,67.64468864468864,9.219264372354392
88,"('MED1', 'MED3', 'MED7', 'MED8', 'MED10')",lda,78.18181818181819,4.302603478617901,58.33333333333333,9.628516673576119,96.66666666666666,3.162277660168379,0.8851190476190476,0.03063585871168405,88.33333333333334,9.442810316143529,58.33333333333333,9.628516673576119,67.64468864468864,9.219264372354392
110,"('MED1', 'MED4', 'MED8', 'MED9', 'MED10')",lda,78.18181818181819,4.302603478617901,58.33333333333333,9.628516673576119,96.66666666666666,3.162277660168379,0.8828571428571429,0.031174205134367697,88.33333333333334,9.442810316143529,58.33333333333333,9.628516673576119,67.64468864468864,9.219264372354392
85,"('MED1', 'MED3', 'MED6', 'MED8', 'MED10')",lda,78.18181818181819,4.302603478617901,58.33333333333333,9.628516673576119,96.66666666666666,3.162277660168379,0.8867857142857144,0.030712186159321298,88.33333333333334,9.442810316143529,58.33333333333333,9.628516673576119,67.64468864468864,9.219264372354392
84,"('MED1', 'MED3', 'MED6', 'MED8', 'MED9')",lda,78.18181818181819,4.302603478617901,58.33333333333333,9.628516673576119,96.66666666666666,3.162277660168379,0.8861904761904762,0.031161473247681766,88.33333333333334,9.442810316143529,58.33333333333333,9.628516673576119,67.64468864468864,9.219264372354392
