,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,amnt_metrics
1,"('MED1', 'MED8')",lda,79.0909090909091,4.075729412992708,59.583333333333336,9.754806507563336,96.66666666666666,3.162277660168379,0.9065476190476188,0.024893338224952,88.57142857142858,9.432899439553816,59.583333333333336,9.754806507563336,68.5018315018315,9.290033674710395,2
2,"('MED1', 'MED7', 'MED8')",lda,79.0909090909091,4.075729412992708,59.583333333333336,9.754806507563336,96.66666666666666,3.162277660168379,0.9065476190476188,0.024893338224952,88.57142857142858,9.432899439553816,59.583333333333336,9.754806507563336,68.5018315018315,9.290033674710395,3
3,"('MED1', 'MED7', 'MED8', 'MED10')",lda,79.0909090909091,4.075729412992708,59.583333333333336,9.754806507563336,96.66666666666666,3.162277660168379,0.8922619047619047,0.02721078071834,88.57142857142858,9.432899439553816,59.583333333333336,9.754806507563336,68.5018315018315,9.290033674710395,4
4,"('MED1', 'MED7', 'MED8', 'MED9', 'MED10')",lda,79.0909090909091,4.075729412992708,59.583333333333336,9.754806507563336,96.66666666666666,3.162277660168379,0.8975,0.0280717466357844,88.57142857142858,9.432899439553816,59.583333333333336,9.754806507563336,68.5018315018315,9.290033674710395,5
6,"('MED1', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",lda,79.0909090909091,4.075729412992708,59.583333333333336,9.754806507563336,96.66666666666666,3.162277660168379,0.8528571428571429,0.0417974817238796,88.57142857142858,9.432899439553816,59.583333333333336,9.754806507563336,68.5018315018315,9.290033674710395,7
5,"('MED1', 'MED2', 'MED3', 'MED6', 'MED8', 'MED10')",lda,78.18181818181819,4.302603478617901,58.33333333333333,9.62851667357612,96.66666666666666,3.162277660168379,0.8901190476190477,0.029170820889773,88.33333333333334,9.442810316143529,58.33333333333333,9.62851667357612,67.64468864468864,9.219264372354392,6
9,MED1,lda,77.27272727272727,2.945791226549028,52.91666666666666,7.684083477480503,100.0,0.0,0.9107142857142858,0.0239779755329259,90.0,9.486832980505138,52.91666666666666,7.684083477480503,65.07326007326006,8.3409404557683,1
7,"('MED1', 'MED2', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",lda,76.36363636363637,4.302603478617902,55.00000000000001,9.570643772611234,96.66666666666666,3.162277660168379,0.8611904761904763,0.0386658163171802,88.33333333333334,9.442810316143529,55.00000000000001,9.570643772611234,64.5927405927406,9.54782202537511,8
8,"('MED1', 'MED2', 'MED3', 'MED4', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",lda,74.54545454545455,2.8167151608781213,53.75,8.62912542240264,93.41666666666669,3.5127743072012656,0.8752380952380954,0.0312462242616967,83.57142857142857,9.356870225035896,53.75,8.62912542240264,62.501831501831504,8.056483319628418,9
0,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",lda,72.72727272727273,3.149183286488868,52.08333333333333,9.152451098536998,91.98809523809524,3.506474817570847,0.8438095238095238,0.0347153145056254,80.23809523809524,9.305838997950818,52.08333333333333,9.152451098536998,59.4065934065934,8.603043976193641,10
