,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
33,"('MED1', 'MED2', 'MED4', 'MED8', 'MED9')",qda,77.27272727272727,4.116084153698826,66.66666666666667,9.446486707295527,85.14285714285714,4.397896838107899,0.8799999999999999,0.0263994906499342,78.6547619047619,8.793132272976905,66.66666666666667,9.446486707295527,70.37265512265513,8.675184323127398
43,"('MED1', 'MED2', 'MED5', 'MED8', 'MED9')",qda,77.27272727272727,4.116084153698826,66.66666666666667,9.446486707295527,85.14285714285714,4.397896838107899,0.8873809523809524,0.026237619907543037,78.6547619047619,8.793132272976905,66.66666666666667,9.446486707295527,70.37265512265513,8.675184323127398
58,"('MED1', 'MED3', 'MED4', 'MED5', 'MED8')",qda,77.27272727272727,3.461715048119958,60.83333333333334,8.763877883423271,91.80952380952381,3.533320497987212,0.896547619047619,0.02079721358669285,80.91666666666667,9.30087361488156,60.83333333333334,8.763877883423271,67.70781995781996,8.37129811002198
62,"('MED1', 'MED3', 'MED4', 'MED6', 'MED8')",qda,76.36363636363637,2.9317300902903813,56.25,8.106281857643216,97.14285714285715,1.807015805810503,0.8696428571428573,0.02550912979597395,84.66666666666667,9.570788891204318,56.25,8.106281857643216,65.77167277167277,7.94187477975642
73,"('MED1', 'MED3', 'MED5', 'MED6', 'MED9')",qda,76.36363636363637,2.9317300902903813,56.25,8.106281857643216,97.14285714285715,1.807015805810503,0.8778571428571429,0.03084698171911052,84.66666666666667,9.570788891204318,56.25,8.106281857643216,65.77167277167277,7.94187477975642
39,"('MED1', 'MED2', 'MED5', 'MED6', 'MED10')",qda,76.36363636363637,2.9317300902903813,56.25,8.106281857643216,97.14285714285715,1.807015805810503,0.8651190476190476,0.0299153425701334,84.66666666666667,9.570788891204318,56.25,8.106281857643216,65.77167277167277,7.94187477975642
78,"('MED1', 'MED3', 'MED5', 'MED8', 'MED9')",qda,76.36363636363637,3.449757447456413,60.83333333333334,8.763877883423271,88.47619047619047,4.126019423267314,0.8939285714285715,0.023601141686132237,79.48809523809524,9.10442769983356,60.83333333333334,8.763877883423271,67.1363913863914,8.265266347622383
75,"('MED1', 'MED3', 'MED5', 'MED7', 'MED8')",qda,76.36363636363637,2.9317300902903813,56.25,8.106281857643216,97.14285714285715,1.807015805810503,0.8841666666666667,0.03082439197436941,84.66666666666667,9.570788891204318,56.25,8.106281857643216,65.77167277167277,7.94187477975642
63,"('MED1', 'MED3', 'MED4', 'MED6', 'MED9')",qda,76.36363636363637,2.9317300902903813,56.25,8.106281857643216,97.14285714285715,1.807015805810503,0.8690476190476192,0.027249165249649772,84.66666666666667,9.570788891204318,56.25,8.106281857643216,65.77167277167277,7.94187477975642
28,"('MED1', 'MED2', 'MED4', 'MED6', 'MED9')",qda,76.36363636363637,3.681537587512106,57.49999999999999,8.47381587925744,93.23809523809524,3.5467720305560517,0.8801190476190476,0.023540774921404498,83.83333333333333,9.321569967911342,57.49999999999999,8.47381587925744,66.26984126984127,8.082880390330168
