,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
3,"('MED1', 'MED5')",qda,80.90909090909092,3.952193658051665,66.25,9.325331391192247,93.23809523809523,3.546772030556051,0.8924999999999998,0.03143129948477453,83.41666666666667,9.44314124995844,66.25,9.325331391192247,72.4512987012987,9.088301168138427
6,"('MED1', 'MED8')",qda,80.0,3.5906213923875447,66.25,9.325331391192247,91.98809523809523,3.506474817570847,0.8985714285714286,0.028036561002278203,80.91666666666667,9.30087361488156,66.25,9.325331391192247,71.02272727272727,8.750022588699368
7,"('MED1', 'MED9')",qda,80.0,3.5906213923875447,66.25,9.325331391192247,91.98809523809523,3.506474817570847,0.9113095238095237,0.023637023929140424,80.91666666666667,9.30087361488156,66.25,9.325331391192247,71.02272727272727,8.750022588699368
0,"('MED1', 'MED2')",qda,77.27272727272727,3.2141217326661256,59.16666666666666,8.47381587925744,93.23809523809523,3.546772030556051,0.8947619047619048,0.02985566184524615,84.25,9.327714082239012,59.16666666666666,8.47381587925744,67.56929181929182,8.068417181556322
1,"('MED1', 'MED3')",qda,76.36363636363637,3.2012394293925475,56.666666666666664,9.05615199126477,93.23809523809523,3.546772030556051,0.8746428571428572,0.03068060630389503,84.25,9.327714082239012,56.666666666666664,9.05615199126477,64.90262515262515,8.484147328814686
2,"('MED1', 'MED4')",qda,76.36363636363637,3.899565561732222,57.49999999999999,9.181805680559545,91.80952380952381,3.533320497987212,0.9016666666666666,0.022750370658065438,78.75,9.69052372165715,57.49999999999999,9.181805680559545,64.84706959706959,9.002796952427087
5,"('MED1', 'MED7')",qda,75.45454545454547,3.4136333373670156,54.166666666666664,8.122328620674137,93.23809523809523,3.546772030556051,0.8744047619047619,0.0282974212185324,81.25,9.882117688026185,54.166666666666664,8.122328620674137,63.918498168498175,8.615482774796833
4,"('MED1', 'MED6')",qda,74.54545454545455,3.352561620833777,52.5,8.019074482479605,93.23809523809523,3.546772030556051,0.8645238095238096,0.031104388648505517,81.25,9.882117688026185,52.5,8.019074482479605,62.58516483516483,8.458022402099703
8,"('MED1', 'MED10')",qda,74.54545454545455,3.352561620833777,52.5,8.019074482479605,93.23809523809523,3.546772030556051,0.8636904761904761,0.03433868675653257,81.25,9.882117688026185,52.5,8.019074482479605,62.58516483516483,8.458022402099703
11,"('MED2', 'MED5')",qda,71.81818181818183,4.887156383896587,53.333333333333336,9.534294823309052,93.80952380952381,3.3705406417497885,0.8097619047619048,0.04623794811413011,82.16666666666667,9.463526474487896,53.333333333333336,9.534294823309052,61.48595848595849,8.879011748947544
14,"('MED2', 'MED8')",qda,71.81818181818183,4.887156383896587,53.333333333333336,9.534294823309052,93.80952380952381,3.3705406417497885,0.8277380952380952,0.043816009483690195,82.16666666666667,9.463526474487896,53.333333333333336,9.534294823309052,61.48595848595849,8.879011748947544
15,"('MED2', 'MED9')",qda,71.81818181818183,4.887156383896587,53.333333333333336,9.534294823309052,93.80952380952381,3.3705406417497885,0.7995238095238095,0.04515725860296601,82.16666666666667,9.463526474487896,53.333333333333336,9.534294823309052,61.48595848595849,8.879011748947544
9,"('MED2', 'MED3')",qda,70.0,4.64437809979811,50.0,9.592387027684447,93.80952380952381,3.9296535306243343,0.7389285714285714,0.06684182983296838,84.16666666666666,9.606855191303067,50.0,9.592387027684447,58.549450549450555,8.477286140524946
10,"('MED2', 'MED4')",qda,70.0,4.819039374799481,50.0,9.592387027684447,93.80952380952381,3.3705406417497885,0.8151190476190477,0.04447923985161817,82.16666666666667,9.463526474487896,50.0,9.592387027684447,58.48595848595849,8.707951810243534
13,"('MED2', 'MED7')",qda,69.09090909090911,4.106032651140443,45.0,8.696263565463044,97.14285714285715,1.807015805810503,0.7846428571428572,0.05756329701524493,84.66666666666667,9.570788891204318,45.0,8.696263565463044,54.797646797646806,8.338242062779749
12,"('MED2', 'MED6')",qda,67.27272727272728,5.012381364396444,43.75,8.882919002219934,93.80952380952381,3.3705406417497885,0.7729761904761905,0.05639517044422427,81.33333333333333,9.559172442098623,43.75,8.882919002219934,52.979464979464986,8.52016394106382
16,"('MED2', 'MED10')",qda,67.27272727272728,5.012381364396444,43.75,8.882919002219934,93.80952380952381,3.3705406417497885,0.760952380952381,0.0619010530024473,81.33333333333333,9.559172442098623,43.75,8.882919002219934,52.979464979464986,8.52016394106382
17,"('MED3', 'MED4')",qda,66.36363636363637,4.075729412992709,40.0,7.245688373094719,97.14285714285715,1.807015805810503,0.7819047619047619,0.032832893052747454,84.16666666666666,9.606855191303067,40.0,7.245688373094719,50.92857142857143,7.693567858578867
18,"('MED3', 'MED5')",qda,66.36363636363637,4.075729412992709,40.0,7.245688373094719,97.14285714285715,1.807015805810503,0.7769047619047618,0.04449139385301529,84.16666666666666,9.606855191303067,40.0,7.245688373094719,50.92857142857143,7.693567858578867
21,"('MED3', 'MED8')",qda,65.45454545454547,3.81385035698237,40.0,7.245688373094719,95.71428571428571,2.892636675902369,0.7148809523809523,0.04649026731100313,82.66666666666666,9.852241707685955,40.0,7.245688373094719,50.0952380952381,7.470212957650742
22,"('MED3', 'MED9')",qda,64.54545454545455,3.952193658051665,38.75,7.169815199849992,95.71428571428571,2.892636675902369,0.6844047619047618,0.04323885894542656,82.66666666666666,9.852241707685955,38.75,7.169815199849992,48.8831168831169,7.287597660746909
20,"('MED3', 'MED7')",qda,61.81818181818181,4.945989275903797,32.08333333333333,7.840643751915046,97.14285714285715,1.807015805810503,0.7584523809523809,0.055462253000906014,72.5,12.474974949874648,32.08333333333333,7.840643751915046,41.48845598845598,8.73395824740514
19,"('MED3', 'MED6')",qda,61.81818181818181,5.269591544068888,33.33333333333333,8.014743359029728,97.14285714285715,1.807015805810503,0.7477380952380952,0.05682786446047679,74.16666666666666,12.272937708633576,33.33333333333333,8.014743359029728,42.41486291486291,8.734932689324863
