,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
24,"('MED1', 'MED5', 'MED9')",qda,80.0,3.5906213923875447,67.5,9.516068282413464,90.5595238095238,3.4413637840073736,0.8952380952380953,0.0196374451418885,78.41666666666667,9.087881124515954,67.5,9.516068282413464,70.71320346320347,8.796152308051234
33,"('MED1', 'MED8', 'MED9')",qda,79.0909090909091,3.4136333373670156,67.5,9.516068282413464,87.22619047619047,3.943264371079722,0.893095238095238,0.02098874009759408,77.16666666666667,8.865664103720599,67.5,9.516068282413464,70.12987012987013,8.662536018679512
23,"('MED1', 'MED5', 'MED8')",qda,79.0909090909091,3.8676449793059358,63.74999999999999,10.03552716879166,91.80952380952381,4.070133461516688,0.8855952380952381,0.033833178344874724,82.75,9.581557806536471,63.74999999999999,10.03552716879166,68.83225108225108,9.383517625768818
5,"('MED1', 'MED2', 'MED8')",qda,79.0909090909091,3.8676449793059358,66.66666666666667,9.446486707295527,91.80952380952381,3.533320497987212,0.9101190476190476,0.020017176581042687,81.75000000000001,9.206315766906977,66.66666666666667,9.446486707295527,71.49353424353426,8.7737059047636
18,"('MED1', 'MED4', 'MED8')",qda,78.18181818181819,3.681537587512107,58.75,9.325331391192249,93.23809523809523,3.546772030556051,0.8905952380952382,0.02360294309831921,83.75,9.362491655537003,58.75,9.325331391192249,66.39285714285714,8.941483520703954
2,"('MED1', 'MED2', 'MED5')",qda,78.18181818181819,3.681537587512107,65.0,9.283348294422415,91.80952380952381,3.533320497987212,0.9017857142857142,0.025472991565965074,81.75000000000001,9.206315766906977,65.0,9.283348294422415,70.40262515262515,8.591441568744195
1,"('MED1', 'MED2', 'MED4')",qda,78.18181818181819,3.681537587512107,65.0,9.283348294422415,91.80952380952381,3.533320497987212,0.9104761904761904,0.023344142297198174,81.75000000000001,9.206315766906977,65.0,9.283348294422415,70.40262515262515,8.591441568744195
6,"('MED1', 'MED2', 'MED9')",qda,78.18181818181819,3.8995655617322202,64.16666666666667,9.523363084774433,91.80952380952381,3.533320497987212,0.9128571428571428,0.0201720209904462,80.91666666666667,9.30087361488156,64.16666666666667,9.523363084774433,69.70781995781996,8.865410541183616
19,"('MED1', 'MED4', 'MED9')",qda,78.18181818181819,3.681537587512107,60.416666666666664,9.30296398406921,91.80952380952381,3.533320497987212,0.8944047619047618,0.018744651542539993,79.25,9.682781108751762,60.416666666666664,9.30296398406921,66.99891774891775,9.158026569745346
12,"('MED1', 'MED3', 'MED8')",qda,77.27272727272727,3.461715048119958,60.83333333333334,8.763877883423271,91.80952380952381,3.533320497987212,0.8860714285714286,0.026364169708990356,80.91666666666667,9.30087361488156,60.83333333333334,8.763877883423271,67.70781995781996,8.37129811002198
