,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
27,"('MED1', 'MED2', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",qda,77.27272727272727,3.2141217326661238,56.25,8.296794896558282,98.57142857142858,1.3552618543578774,0.877142857142857,0.02848389368654653,88.00000000000001,9.465727652959385,56.25,8.296794896558282,66.60683760683762,7.94688012941968
26,"('MED1', 'MED2', 'MED4', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",qda,76.36363636363637,2.9317300902903813,55.00000000000001,7.901300877422371,98.57142857142858,1.3552618543578774,0.8607142857142858,0.03037184517924186,88.00000000000001,9.465727652959385,55.00000000000001,7.901300877422371,65.84493284493284,7.720281335440328
0,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8')",qda,75.45454545454547,2.889136105831037,55.00000000000001,7.901300877422371,97.14285714285715,1.807015805810503,0.8344047619047619,0.039537952862449606,84.66666666666667,9.570788891204318,55.00000000000001,7.901300877422371,64.8925518925519,7.762895703344934
2,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED10')",qda,75.45454545454547,2.889136105831037,55.00000000000001,7.901300877422371,97.14285714285715,1.807015805810503,0.8269047619047619,0.03911151856363726,84.66666666666667,9.570788891204318,55.00000000000001,7.901300877422371,64.8925518925519,7.762895703344934
23,"('MED1', 'MED2', 'MED4', 'MED5', 'MED6', 'MED7', 'MED9', 'MED10')",qda,75.45454545454547,2.889136105831037,52.5,8.399735445569435,98.57142857142858,1.3552618543578774,0.8579761904761906,0.027451797581874125,88.00000000000001,9.465727652959385,52.5,8.399735445569435,63.17826617826617,8.097189997776406
10,"('MED1', 'MED2', 'MED3', 'MED4', 'MED6', 'MED7', 'MED8', 'MED9')",qda,75.45454545454547,2.889136105831037,55.00000000000001,7.901300877422371,97.14285714285715,1.807015805810503,0.8271428571428572,0.03623031954622769,84.66666666666667,9.570788891204318,55.00000000000001,7.901300877422371,64.8925518925519,7.762895703344934
11,"('MED1', 'MED2', 'MED3', 'MED4', 'MED6', 'MED7', 'MED8', 'MED10')",qda,75.45454545454547,2.889136105831037,55.00000000000001,7.901300877422371,97.14285714285715,1.807015805810503,0.8235714285714286,0.03893559715252333,84.66666666666667,9.570788891204318,55.00000000000001,7.901300877422371,64.8925518925519,7.762895703344934
16,"('MED1', 'MED2', 'MED3', 'MED5', 'MED6', 'MED7', 'MED8', 'MED10')",qda,74.54545454545455,3.096252066532072,53.333333333333336,8.160712114896727,97.14285714285715,1.807015805810503,0.8423809523809525,0.032163221062506256,84.66666666666667,9.570788891204318,53.333333333333336,8.160712114896727,63.22588522588523,7.884870202459876
31,"('MED1', 'MED3', 'MED4', 'MED5', 'MED6', 'MED8', 'MED9', 'MED10')",qda,74.54545454545455,2.8167151608781213,52.5,6.977145229644825,95.23809523809523,3.2991443953692903,0.8667857142857143,0.024633049578143475,86.07142857142858,9.428165575680616,52.5,6.977145229644825,63.73809523809524,7.364963480889089
24,"('MED1', 'MED2', 'MED4', 'MED5', 'MED6', 'MED8', 'MED9', 'MED10')",qda,74.54545454545455,3.5906213923875456,55.00000000000001,8.096638534327411,91.9047619047619,4.2082954467210865,0.8734523809523809,0.03144933026551853,84.57142857142857,9.286373602966743,55.00000000000001,8.096638534327411,64.61416361416362,7.69323568447401
1,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED9')",qda,74.54545454545455,2.816715160878121,55.00000000000001,7.901300877422371,93.80952380952381,3.3705406417497885,0.8300000000000001,0.04261532306151378,83.23809523809524,9.436937125621064,55.00000000000001,7.901300877422371,64.32112332112332,7.6273717969919215
21,"('MED1', 'MED2', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9')",qda,74.54545454545455,2.816715160878121,55.00000000000001,7.901300877422371,93.80952380952381,3.3705406417497885,0.8474999999999999,0.026949210018754173,83.23809523809524,9.436937125621064,55.00000000000001,7.901300877422371,64.32112332112332,7.6273717969919215
19,"('MED1', 'MED2', 'MED3', 'MED5', 'MED7', 'MED8', 'MED9', 'MED10')",qda,74.54545454545455,3.096252066532072,53.75,7.871582150721388,97.14285714285715,1.807015805810503,0.8520238095238095,0.028792325641966057,84.66666666666667,9.570788891204318,53.75,7.871582150721388,63.866910866910864,7.664300050029348
